name,tag
Aaron Nicholls,Engineering
Aimee Smith,Production
Albert Robles,Design
Alicia Brattin,Business
Bre Miller,Design
Chad Armstrong,Design
Charles Robert Webb,Technical Writing
Clay Akazawa,IT
Daveed Kaplan,Character Art
David Braun,Engineering
Deacon Davis,Design
Don Alvarez,Tech Art
Doug Hebenthal,Management
Howard Schargel,Environment Art
Jonathan Goff,Community
Justin Korthof,Community
Kurtis Chinn,Engineering
Kutta Srinivasan,Engineering
Laura Akers,Production
M.E. Chung,Design
Matt Brown,Engineering
Melissa Shaw,Editing
Mitch Walker,Production
Nate Walpole,Animation
Paul Gradwohl,Test
Ross Kameny,Tech Art
Ryan Payton,Design
Seth Gibson,Tech Art
Sharon Plotkin,Environment Art
Steve Schreiber,Production
Steven Jones,Engineering
Ted Fitzgerald,Production
Tim Tao,Environment Art
Tony Cox,Engineering
Whit Brachna,Concept Art
