game_id,studio,role,type
halo-4,7Hz Productions,Original Soundtrack,cinematic-sound
halo-4,The Chamber Orchestra of London,Orchestra,cinematic-sound
halo-4,Remote Control Productions,Score Mixing,cinematic-sound
halo-4,The Newman Scoring Stage,Orchestra Recording Venue,cinematic-sound
halo-cea,The Sequence Group,Cinematic Animation,cinematic-sound
halo-4,The Sequence Group,Additional Content,development
halo-mcc-2021,Digital Forms Art Outsourcing Company,Outsource Studio,development
halo-infinite,Sofia Session Studio,Score Recorded At,cinematic-sound
halo-infinite,Sound Kitchen Studios,Score Recorded At,cinematic-sound
halo-infinite,Oceanway Studios,Score Recorded At,cinematic-sound
halo-2,ReelFX Creative Studios,Additional Cinematic Animation,cinematic-sound
halo-4,London Bulgarian Vocal Choir,Choir,cinematic-sound
halo-4,Pearl Digital Entertainment,Additional Content,development
halo-reach,Pearl Digital Entertainment,Art/Animation/FX Vendor,development
halo-4,Abbey Road Studios,Orchestra Recorded At,cinematic-sound
halo-infinite,Angel Studios,Score Recorded At,cinematic-sound
halo-4,Angel Studios,Choir Recorded At,cinematic-sound
halo-infinite,AIR Studios,Score Recorded At,cinematic-sound
halo-4,Certain Affinity,Scanned Talent,development
halo-cea,Audiomotion Studios,Mocap Service Provider,development
halo-4,Cynergy Systems,Additional Content,development
halo-3-odst,Fourth Wall Studios,Writing and Design,development
halo-infinite,Vossler Media Group,Dialog/Motion Capture Recording,cinematic-sound
halo-mcc-2021,Blacksteinn,Outsource Studio,development
halo-mcc-2021,RenderDock,Outsource Studio,development
halo-mcc-2021,Toyrocket Studio,Outsource Studio,development
halo-2,FilmOasis,DVD Production,cinematic-sound
halo-mcc-2021,Overturn Studio,Outsource Studio,development
halo-4,Giant Studios,Additional Content,development
halo-2,The Ant Farm,Titles and Trailers,cinematic-sound
halo-infinite,Humain,Rigging Artists,development
halo-2,Omni Interactive Audio,Cinematic Foley,cinematic-sound
halo-4,Hollywood Studio Symphony,Orchestra,cinematic-sound
halo-4,Axis Animation,Additional Content,development
halo-4,Digic Pictures,Additional Content,development
halo-4,Technicolor Game-Sound Services,Additional Content,cinematic-sound
halo-reach,Northwest Sinfornia,Additional Music and Recording,cinematic-sound
halo-reach,Studio X,Additional Music and Recording,cinematic-sound
halo-reach,House of Moves,Art/Animation/FX Vendor,development
halo-reach,Image Metrics,Art/Animation/FX Vendor,development
halo-reach,NewBreed Visual FX,Art/Animation/FX Vendor,development
halo-reach,Polygon,Art/Animation/FX Vendor,development
halo-reach,Schematic,Art/Animation/FX Vendor,development
halo-reach,Vicon,Art/Animation/FX Vendor,development
halo-5,Airborn Studios,Special Thanks,development
halo-5,Arriba Entertainment,Special Thanks,cinematic-sound
halo-5,Ayzenberg Group,Special Thanks,publishing
halo-5,Dhruva Interactive,Special Thanks,development
halo-5,Empowering Media Dentsu,Special Thanks,publishing
halo-5,Fated Fire,Special Thanks,publishing
halo-5,Mindwalk Studios,Special Thanks,development
halo-5,Pixel Smash LTD,Special Thanks,development
halo-5,Razorfish,Special Thanks,publishing
halo-5,Run Studios,Special Thanks,cinematic-sound
halo-5,Ten Gun Design,Special Thanks,development
halo-5,Virtuos,Special Thanks,development
halo-5,Watson Creative,Special Thanks,publishing
halo-5,Wunderman,Special Thanks,publishing
halo-2,Blindlight,Casting & Voice-Over Production Services,cinematic-sound
halo-3,Blindlight,Casting & Voice-Over Production Services,cinematic-sound
halo-3-odst,Blindlight,Casting & Voice-Over Production Services,cinematic-sound
halo-reach,Blindlight,Casting and Voice Over Production Services,cinematic-sound
halo-infinite,SIDE LA,Dialog recorded at,cinematic-sound
halo-infinite,Slate & Ash,Digital Instrument Design & Sampling,cinematic-sound
