name_raw,action,names,studio
Halo 4 Original Soundtrack. Available on 7&nbsp;Hz Productions Ltd.,discard,,
Orchestra Performed by The Chamber Orchestra of London,discard,,
Steve Vai appears courtesy of Epic Records,fix,Steve Vai,Epic Records
Original Halo: Combat Evolved Music composed by Martin O'Donnell and Michael Salvatori,fix,Martin O'Donnell|Michael Salvatori,
James Cassidy & Barry Campbell,fix,James Cassidy|Barry Campbell,
"Halo 2 Soundtrack ""Never Surrender"" appears Courtesy of Niles Rogers and Nataraj",fix,Niles Rogers|Nataraj,
"Score Mixed at Remote Control Productions Studio, Santa Monica, CA",discard,,
"Orchestra Recorded at The Newman Scoring Stage, Los Angeles, CA",discard,,
Animation Production Services provided by The Sequence Group,discard,,
Halo Intro video edit and assembly by The Sequence Group,discard,,
The American Federation of The United States and Canada,discard,,
composed by Marty O'Donnell and Michael Salvatori,fix,Marty O'Donnell|Michael Salvatori,
Terminals Animation by The Sequence Group,discard,,
Alan Umstead FOR NASHVILLE MUSIC SCORING,discard,,
FaceGen from Singular Inversions Inc.,discard,,
Susie Gillis FOR ISOBEL GRIFFITHS LTD,discard,,
Special thanks to Marty O'Donnell and Mike Salvatori for blazing a trail,fix,Marty O'Donnell|Mike Salvatori,
and building a musical foundation for us to follow and build upon.,discard,,
"Director of Analytics, Insights, and Customer Service",discard,,
The Bungie Auxiliary Players and Brian Morden,fix,Brian Morden,
Cinematic stylization by Faction Creative,discard,,
Digital Forms Art Outsourcing Company,discard,,
"Sofia Session Studio, Sofia, Bulgaria",discard,,
"Sound Kitchen Studios, Nashville, USA",discard,,
Additional Music by Kazuma Jinnouchi,fix,Kazuma Jinnouchi,
Dominique Morel Head of Development,fix,Dominique Morel,
Recorded in BRISTOL.,discard,,
The Sequence Group,discard,,
Kiera Schroeder (24 Seven Topco) Sarah Emerson,fix,Kiera Schroeder|Sarah Emerson,24 Seven Topco|-
Minh Hai Nguyen (Tom) OR Minh Hai Nguyen,fix,Minh Hai Nguyen,
